[Mon Mar 05 14:49:44.332364 2018] [:error] [pid 12489] [client 127.0.0.1:57150] PHP Parse error:  syntax error, unexpected ';' in /home/apoorva/html/laravel/sec-report/storage/framework/views/afd1a9fd5c207b0ed46a231d8e216fd776f68580.php on line 35, referer: http://lara-sec-report.b2c.com/report/1/issue/1/screenshot/create
[Mon Mar 05 14:49:44.332393 2018] [:error] [pid 12489] [client 127.0.0.1:57150] PHP Stack trace:, referer: http://lara-sec-report.b2c.com/report/1/issue/1/screenshot/create
[Mon Mar 05 14:49:44.332410 2018] [:error] [pid 12489] [client 127.0.0.1:57150] PHP   1. {main}() /home/apoorva/html/laravel/sec-report/public/index.php:0, referer: http://lara-sec-report.b2c.com/report/1/issue/1/screenshot/create
[Mon Mar 05 14:49:44.332419 2018] [:error] [pid 12489] [client 127.0.0.1:57150] PHP   2. Illuminate\\Foundation\\Http\\Kernel->handle() /home/apoorva/html/laravel/sec-report/public/index.php:54, referer: http://lara-sec-report.b2c.com/report/1/issue/1/screenshot/create
[Mon Mar 05 14:49:44.332428 2018] [:error] [pid 12489] [client 127.0.0.1:57150] PHP   3. Illuminate\\Foundation\\Http\\Kernel->sendRequestThroughRouter() /home/apoorva/html/laravel/sec-report/vendor/laravel/framework/src/Illuminate/Foundation/Http/Kernel.php:99, referer: http://lara-sec-report.b2c.com/report/1/issue/1/screenshot/create
[Mon Mar 05 14:49:44.332436 2018] [:error] [pid 12489] [client 127.0.0.1:57150] PHP   4. Illuminate\\Pipeline\\Pipeline->then() /home/apoorva/html/laravel/sec-report/vendor/laravel/framework/src/Illuminate/Foundation/Http/Kernel.php:132, referer: http://lara-sec-report.b2c.com/report/1/issue/1/screenshot/create
[Mon Mar 05 14:49:44.332443 2018] [:error] [pid 12489] [client 127.0.0.1:57150] PHP   5. call_user_func() /home/apoorva/html/laravel/sec-report/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103, referer: http://lara-sec-report.b2c.com/report/1/issue/1/screenshot/create
[Mon Mar 05 14:49:44.332451 2018] [:error] [pid 12489] [client 127.0.0.1:57150] PHP   6. Illuminate\\Routing\\Pipeline->Illuminate\\Routing\\{closure}() /home/apoorva/html/laravel/sec-report/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103, referer: http://lara-sec-report.b2c.com/report/1/issue/1/screenshot/create
[Mon Mar 05 14:49:44.332458 2018] [:error] [pid 12489] [client 127.0.0.1:57150] PHP   7. call_user_func() /home/apoorva/html/laravel/sec-report/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:32, referer: http://lara-sec-report.b2c.com/report/1/issue/1/screenshot/create
[Mon Mar 05 14:49:44.332466 2018] [:error] [pid 12489] [client 127.0.0.1:57150] PHP   8. Illuminate\\Pipeline\\Pipeline->Illuminate\\Pipeline\\{closure}() /home/apoorva/html/laravel/sec-report/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:32, referer: http://lara-sec-report.b2c.com/report/1/issue/1/screenshot/create
[Mon Mar 05 14:49:44.332473 2018] [:error] [pid 12489] [client 127.0.0.1:57150] PHP   9. call_user_func_array() /home/apoorva/html/laravel/sec-report/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:136, referer: http://lara-sec-report.b2c.com/report/1/issue/1/screenshot/create
[Mon Mar 05 14:49:44.332481 2018] [:error] [pid 12489] [client 127.0.0.1:57150] PHP  10. Illuminate\\Foundation\\Http\\Middleware\\CheckForMaintenanceMode->handle() /home/apoorva/html/laravel/sec-report/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:136, referer: http://lara-sec-report.b2c.com/report/1/issue/1/screenshot/create
